,screen_name,location,position,bogus,age
31,WishResonator,"London, England",,False,223968535.0
63,JenDreYT,"London, England","(51.5073219, -0.1276474)",False,1326340.0
72,jacob_evering,"London, England",,False,80346374.0
76,disclaimermag,"London, England","(51.5073219, -0.1276474)",False,71150945.0
79,james_ernest,"London, England",,False,153396453.0
93,steventrent,"London, England",,False,227326295.0
103,imscott,"London, England","(51.5073219, -0.1276474)",False,141394037.0
135,genevieve_joy,"London, England","(51.5073219, -0.1276474)",False,187784616.0
158,rclarke,"London, England","(51.5073219, -0.1276474)",False,288927193.0
159,MissJoHartley,"London, England",,False,151588576.0
172,susioneill,"London, England",,False,282203612.0
173,DanBloodyJohns,"London, England","(51.5073219, -0.1276474)",False,247327554.0
175,Jazzy_tizzle,"London, England","(51.5073219, -0.1276474)",False,167815741.0
218,popbitch,"London, England","(51.5073219, -0.1276474)",False,292694091.0
225,NARSTI,"London, England",,False,285079172.0
235,_Eyniiiiii,"London, England","(51.5073219, -0.1276474)",False,160332006.0
236,bultifish,"London, England","(51.5073219, -0.1276474)",False,167662892.0
250,pad6,"London, England",,False,209562565.0
269,abcdaisy_,"London, England",,False,225008040.0
281,thecarolemalone,"London, England",,False,80491519.0
301,FubarRadio,"London, England","(51.5073219, -0.1276474)",False,165351060.0
306,amzeratul,"London, England",,False,227244242.0
312,JamesLiamCook,"London, England",,False,178729388.0
319,Londoner38,"London, England",,False,226985703.0
326,JayG_009,"London, England",,False,210586289.0
335,JemSkylark,"London, England",,False,144402371.0
338,karleastham,"London, England",,False,234102903.0
345,rkozlowski13,"London, England",,False,163095610.0
357,sgbbow,"London, England","(51.5073219, -0.1276474)",False,134668596.0
363,limitedmitch,"London, England",,False,229071069.0
373,mark_gently,"London, England","(51.5073219, -0.1276474)",False,4719289.0
385,LMAX,"London, England",,False,190724716.0
386,theharpsbizarre,"London, England",,False,232091716.0
390,ExpInvest,"London, England",,False,99234714.0
438,UofG_BSEO,"London, England",,False,122743149.0
445,LeftieLeithal,"London, England","(51.5073219, -0.1276474)",False,6965257.0
447,HenryRidgwell,"London, England",,False,232942980.0
461,AninaPletscher,"London, England",,False,141213776.0
462,wareisjoe,"London, England",,False,226738886.0
472,Mauro_Murgia,"London, England",,False,171515944.0
474,joshspero,"London, England",,False,228213194.0
491,PeterH_1,"London, England","(51.5073219, -0.1276474)",False,196865004.0
501,yuenlingchiu,"London, England",,False,182401644.0
525,toates_19,"London, England",,False,97080863.0
527,nathandgard,"London, England",,False,122390343.0
538,studentpride,"London, England","(51.5073219, -0.1276474)",False,218186622.0
579,markhughes,"London, England",,False,256391105.0
585,vogt_sebastian,"London, England",,False,82818487.0
597,chezlouise81,"London, England",,False,176348644.0
599,RyanCMercier,"London, England",,False,146111336.0
602,JuggaloGooner,"London, England",,False,172041072.0
614,FreeThinker2040,"London, England","(51.5073219, -0.1276474)",False,81666492.0
617,JayJay_Official,"London, England",,False,12293617.0
625,Col_Connaughton,"London, England",,False,149754650.0
633,iamphilstewart,"London, England","(51.5073219, -0.1276474)",False,88932989.0
635,ukforex,"London, England",,False,225666855.0
646,selinathinks,"London, England","(51.5073219, -0.1276474)",False,30290519.0
649,clairepattisonx,"London, England","(51.5073219, -0.1276474)",False,8824977.0
660,HarrietSergeant,"London, England",,False,218868089.0
661,GraphicScribe19,"London, England",,False,165719769.0
707,CULSU,"London, England",,False,221912369.0
722,Pinkysegun,"London, England",,False,154351505.0
731,Willtholmes,"London, England",,False,141555319.0
753,missdiplom,"London, England","(51.5073219, -0.1276474)",False,21692190.0
779,_LilyLovell,"London, England","(51.5073219, -0.1276474)",False,96177514.0
794,RossMrtn,"London, England",,False,223182140.0
795,mcdefenseless,"London, England","(51.5073219, -0.1276474)",False,51229464.0
802,MartinDaubney,"London, England",,False,130860283.0
804,Baileyology,"London, England",,False,221747554.0
805,adammLDN,"London, England","(51.5073219, -0.1276474)",False,73616345.0
809,32kingwolf,"London, England",,False,86764512.0
814,Fenetta,"London, England",,False,231633821.0
860,LeoGarbutt,"London, England",,False,114589739.0
876,Jess__Robinson,"London, England",,False,218089952.0
892,sarahmayhayes,"London, England",,False,227347697.0
