,Unnamed: 0,Unnamed: 0.1,friends_count,favourites_count,description,screen_name,geo_enabled,lang,verified,time_zone,statuses_count,followers_count,following,name,location,created_at,retweeted_count,position,bogus,age
2493,3592,3592,31,21,,trcpic,FALSE,en-GB,False,,21,189,,Vote Leave,,Fri Feb 06 01:35:02 +0000 2015,23562.0,,False,83024697.0
2443,3445,3445,482,0,"Britain is stronger, safer and better off in Europe. Don't sit on the sidelines - be part of the campaign to secure Britain's future in Europe.",StrongerIn,FALSE,en,True,London,6771,48392,,Stronger In,,Tue Jun 23 17:40:00 +0000 2015,12453.0,,False,71129999.0
5650,3845,3845,2741,32930,"good old British humour but nothing too serious,  #LoveEuropeLeaveEU  #inorout
#EUref #VoteLeave #Brexit #LeaveEU #GrassrootsOut",theordinaryman2,FALSE,en-gb,False,Dublin,22201,5668,,TheOrdinaryMan,GREAT Britain,Sun Apr 05 01:21:42 +0000 2015,6715.0,,True,78014297.0
6486,4935,4935,422,1250,Chatting slowly towards the grave. White wine please!,grahnort,TRUE,en,True,Amsterdam,2150,1204951,,graham norton,,Mon Jun 22 09:43:26 +0000 2009,5807.0,,True,260547393.0
6187,4573,4573,636,624,"MP for South Northamptonshire.
Wife, Mother. Leave campaigner.
If I can help, please email or see my website.",andrealeadsom,TRUE,en,True,London,2995,17220,,Andrea Leadsom MP,Near Towcester,Wed May 06 21:28:42 +0000 2009,2387.0,,True,264565877.0
1571,232,232,5001,14397,About the #transgressions in today's society. Because we need a change. Bekommeringen over misstanden en #dwalingen in de samenleving. Omdat het anders moet.,Dwalingen,FALSE,en,False,Pacific Time (US & Canada),31794,4521,,Mis Standen,,Fri Oct 19 14:12:05 +0000 2012,2224.0,,False,155555274.0
3942,1547,1547,765,294,The first word in business news.,business,FALSE,en,True,Eastern Time (US & Canada),155113,3218449,,Bloomberg,New York and the World,Thu Apr 23 20:05:17 +0000 2009,1361.0,,True,265694082.0
4465,2258,2258,12335,75083,"author, playwright, Southside of Chicago sistuh and Londoner, too. Politics, the rights of the other, cusine, music, the arts...and I love Robin Hood.",Bonn1eGreer,TRUE,en,False,Amsterdam,40346,40609,,Bonnie Greer,London UK and beyond.,Mon Jun 18 10:42:30 +0000 2012,1329.0,,True,166195049.0
1527,87,87,8872,3116,"The World stands on the brink of a collective awakening! More people everyday realise something is not right, not sitting comfortably in their hearts! Awaken",Australiaunwra6,FALSE,en,False,,13833,9432,,David Peterson,,Wed Jan 06 09:44:05 +0000 2016,1243.0,,False,54137754.0
3174,488,488,567,254,"RT, the global news network, broadcasts from Moscow, London and Washington studios to over 100 countries.",RT_com,TRUE,en,True,Moscow,171541,2191286,,RT,,Tue Aug 11 06:12:45 +0000 2009,1083.0,,True,256240034.0
