,Unnamed: 0,friends_count,favourites_count,description,screen_name,geo_enabled,lang,verified,time_zone,statuses_count,followers_count,following,name,location,created_at,retweeted_count,position,age
2440,2439,485,878,Vote Leave - campaign for a 'leave' vote in EU referendum. End supremacy of EU law. Take control. Invest in NHS & science. The safer choice.,vote_leave,False,en-gb,True,London,6533,64803,,Vote Leave,United Kingdom,Fri Sep 18 10:47:15 +0000 2015,26147.0,"(25.2232283, 55.1594933008754)",23980364.0
8257,8256,1924,1275,A cross-party campaign advocating a vote to leave the European Union on 23 June. #LeaveEU http://www.Facebook.com/LeaveEUOfficial,LeaveEUOfficial,False,en,False,Pacific Time (US & Canada),8614,93652,,LEAVE.EU,,Mon Jul 06 08:21:07 +0000 2015,9308.0,,30382732.0
84893,84874,271,856,"British actress, Goodwill Ambassador for UN Women",EmWatson,True,en,True,London,1396,22049379,,Emma Watson,"London, England",Wed Jul 14 22:06:37 +0000 2010,8139.0,"(51.5073219, -0.1276474)",187408402.0
9369,9367,713,1406,"Fair #weather #cook, #photographer, #cyclist & #walker! #EU #VoteLeave",greenpesto1,False,en,False,,3636,329,,Russ,#Solihull #UK,Mon Jul 23 19:51:39 +0000 2012,6048.0,,123480500.0
13,13,10622,16529,"'Lord, thou knowest how busy I must be this day. If I forget thee, do not thou forget me.' Sir Jacob Astley, before the Battle of Edgehill",LouiseMensch,False,en,True,Seoul,146669,98330,,Louise Mensch,Conservative. Feminist.,Thu Jan 22 16:36:16 +0000 2009,5318.0,,233911423.0
807,807,107,16,"News, features and analysis (http://bbc.in/newschannel). World news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport",BBCNews,True,en,True,London,299891,6840551,,BBC News (UK),"London, England",Mon Jan 08 08:05:57 +0000 2007,5103.0,"(51.5073219, -0.1276474)",298310042.0
32269,32264,340,5823,Author,jk_rowling,False,en,True,London,4120,7522446,,J.K. Rowling,"Scotland, United Kingdom",Mon Aug 03 13:23:45 +0000 2009,4184.0,"(56.7861112, -4.1140518)",217247774.0
94070,94050,3844,4,"Tie-loathing adventurer, philanthropist & troublemaker, who believes in turning ideas into reality. Otherwise known as Dr Yes at @virgin!",richardbranson,True,en,True,London,12347,7809439,,Richard Branson,,Mon Aug 13 15:20:18 +0000 2007,4072.0,,279535181.0
13795,13792,291,4,Media account for @vote_leave,Vote_LeaveMedia,False,en-gb,False,Pacific Time (US & Canada),3677,7873,,Vote Leave Media,"England, United Kingdom",Thu Sep 24 15:12:01 +0000 2015,3867.0,"(52.7954791, -0.540240286617432)",23446078.0
876,876,2728,32442,"good old British humour but nothing too serious,  #LoveEuropeLeaveEU  #inorout
#EUref #VoteLeave #Brexit #LeaveEU #GrassrootsOut",theordinaryman2,False,en-gb,False,Dublin,21809,5564,,TheOrdinaryMan,GREAT Britain,Sun Apr 05 01:21:42 +0000 2015,3479.0,,38356697.0
