,Unnamed: 0,friends_count,favourites_count,description,screen_name,geo_enabled,lang,verified,time_zone,statuses_count,followers_count,following,name,location,created_at,retweeted_count
2440,2439,485,878,Vote Leave - campaign for a 'leave' vote in EU referendum. End supremacy of EU law. Take control. Invest in NHS & science. The safer choice.,vote_leave,False,en-gb,True,London,6533,64803,,Vote Leave,United Kingdom,Fri Sep 18 10:47:15 +0000 2015,26147.0
8257,8256,1924,1275,A cross-party campaign advocating a vote to leave the European Union on 23 June. #LeaveEU http://www.Facebook.com/LeaveEUOfficial,LeaveEUOfficial,False,en,False,Pacific Time (US & Canada),8614,93652,,LEAVE.EU,,Mon Jul 06 08:21:07 +0000 2015,9308.0
84893,84874,271,856,"British actress, Goodwill Ambassador for UN Women",EmWatson,True,en,True,London,1396,22049379,,Emma Watson,London,Wed Jul 14 22:06:37 +0000 2010,8139.0
9369,9367,713,1406,"Fair #weather #cook, #photographer, #cyclist & #walker! #EU #VoteLeave",greenpesto1,False,en,False,,3636,329,,Russ,#Solihull #UK,Mon Jul 23 19:51:39 +0000 2012,6048.0
13,13,10622,16529,"'Lord, thou knowest how busy I must be this day. If I forget thee, do not thou forget me.' Sir Jacob Astley, before the Battle of Edgehill",LouiseMensch,False,en,True,Seoul,146669,98330,,Louise Mensch,Conservative. Feminist.,Thu Jan 22 16:36:16 +0000 2009,5318.0
807,807,107,16,"News, features and analysis (http://bbc.in/newschannel). World news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport",BBCNews,True,en,True,London,299891,6840551,,BBC News (UK),London,Mon Jan 08 08:05:57 +0000 2007,5103.0
32269,32264,340,5823,Author,jk_rowling,False,en,True,London,4120,7522446,,J.K. Rowling,Scotland,Mon Aug 03 13:23:45 +0000 2009,4184.0
94070,94050,3844,4,"Tie-loathing adventurer, philanthropist & troublemaker, who believes in turning ideas into reality. Otherwise known as Dr Yes at @virgin!",richardbranson,True,en,True,London,12347,7809439,,Richard Branson,,Mon Aug 13 15:20:18 +0000 2007,4072.0
13795,13792,291,4,Media account for @vote_leave,Vote_LeaveMedia,False,en-gb,False,Pacific Time (US & Canada),3677,7873,,Vote Leave Media,"England, United Kingdom",Thu Sep 24 15:12:01 +0000 2015,3867.0
876,876,2728,32442,"good old British humour but nothing too serious,  #LoveEuropeLeaveEU  #inorout
#EUref #VoteLeave #Brexit #LeaveEU #GrassrootsOut",theordinaryman2,False,en-gb,False,Dublin,21809,5564,,TheOrdinaryMan,GREAT Britain,Sun Apr 05 01:21:42 +0000 2015,3479.0
9386,9384,482,0,"Britain is stronger, safer and better off in Europe. Don't sit on the sidelines - be part of the campaign to secure Britain's future in Europe.",StrongerIn,False,en,True,London,6004,44656,,Stronger In,,Tue Jun 23 17:40:00 +0000 2015,3474.0
3431,3430,608,1404,UK No1 & US Top 5 Bestseller For politics http://blog.dorries.org For friends & readers go to politics free zone https://www.facebook.com/NadineDorriesAuthor,NadineDorriesMP,True,en,True,Hawaii,18087,29283,,Nadine Dorries,Tweets and RT posted by staff ,Sat Jan 07 00:11:00 +0000 2012,3326.0
5470,5469,15012,124,"Twitter feed of the UK Labour Party, keeping you up-to-date with news, speeches, events & videos.",UKLabour,False,en,True,London,18137,324286,,The Labour Party,,Thu Apr 03 08:57:48 +0000 2008,3195.0
3194,3193,1120,3354,News and updates from Britain Stronger In Europe's press team. Main account @StrongerIn,StrongerInPress,True,en,False,London,15040,10251,,Stronger In Press,United Kingdom,Mon Sep 07 08:11:46 +0000 2015,3137.0
1379,1378,153,124,"News and analysis with a global perspective.
Subscribe here: http://econ.st/1Ph3o0t 
Podcasts: http://econ.st/1VMD71O
Videos: http://econ.st/1q3E5c0",TheEconomist,False,en,True,Eastern Time (US & Canada),74449,14533823,,The Economist,London,Sat May 12 13:04:50 +0000 2007,2755.0
10745,10743,940,11454,Political commentary on a wide range of issues. Right of liberal.  Pro British. Editor of A Tangled Web & Biased BBC.,DVATW,False,en,False,London,103432,23111,,David Vance,UK,Mon Feb 02 09:36:06 +0000 2009,2536.0
7075,7074,249,4537,Contrarian polemicist. http://youtube.com/PrisonPlanetLive https://www.facebook.com/paul.j.watson.71,PrisonPlanet,False,en,False,Central Time (US & Canada),21835,167280,,Paul Joseph Watson,London,Mon Jan 05 20:04:23 +0000 2009,2467.0
