,screen_name,location,position,bogus,age
27,JoshhMaherr,"London, England","(51.5073219, -0.1276474)",False,119169790.0
32,SurvivingSean,"London, England","(51.5073219, -0.1276474)",False,145100857.0
36,Zafarcakes,"London, England","(51.5073219, -0.1276474)",False,125291944.0
52,SimonsAdviser,"London, England","(51.5073219, -0.1276474)",False,141512835.0
56,oysterman55,"London, England","(51.5073219, -0.1276474)",False,220627844.0
63,frontofstore,"London, England","(51.5073219, -0.1276474)",False,170044786.0
76,ravmattu,"London, England","(51.5073219, -0.1276474)",False,231659414.0
84,SpiritofLondon,"London, England","(51.5073219, -0.1276474)",False,227965492.0
91,JorgenFaxholm,"London, England","(51.5073219, -0.1276474)",False,149430508.0
96,NaomiKilby,"London, England","(51.5073219, -0.1276474)",False,186891567.0
100,beechris84,"London, England","(51.5073219, -0.1276474)",False,36639364.0
118,ericktruter,"London, England","(51.5073219, -0.1276474)",False,226073123.0
121,johnthedraw,"London, England","(51.5073219, -0.1276474)",False,45577438.0
130,politicalpob,"London, England","(51.5073219, -0.1276474)",False,8309263.0
138,MegsWanderings,"London, England","(51.5073219, -0.1276474)",False,181038514.0
155,AntonioFalco,"London, England","(51.5073219, -0.1276474)",False,230470845.0
189,VagabondImages,"London, England","(51.5073219, -0.1276474)",False,48530522.0
199,debbiesturgis1,"London, England","(51.5073219, -0.1276474)",False,13623046.0
216,RealDavidCarter,"London, England","(51.5073219, -0.1276474)",False,226055342.0
249,beckie_williams,"London, England","(51.5073219, -0.1276474)",False,221837003.0
270,EloiseCadman,"London, England","(51.5073219, -0.1276474)",False,154863265.0
294,FAmjad22,"London, England","(51.5073219, -0.1276474)",False,32680841.0
332,Brain1Brain,"London, England","(51.5073219, -0.1276474)",False,155575263.0
336,Donna_Salem,"London, England","(51.5073219, -0.1276474)",False,215090847.0
341,_hannnnah_,"London, England","(51.5073219, -0.1276474)",False,200400346.0
349,blythie7,"London, England","(51.5073219, -0.1276474)",False,192328871.0
350,ollie_glanvill,"London, England","(51.5073219, -0.1276474)",False,191057096.0
368,KellyChan86,"London, England","(51.5073219, -0.1276474)",False,3325053.0
418,ByersAlly,"London, England","(51.5073219, -0.1276474)",False,227074585.0
453,bbcrussian,"London, England","(51.5073219, -0.1276474)",False,237122024.0
495,Col_Connaughton,"London, England","(51.5073219, -0.1276474)",False,149581850.0
503,HowEnterprising,"London, England","(51.5073219, -0.1276474)",False,90169834.0
509,BrexitFact,"London, England","(51.5073219, -0.1276474)",False,5016357.0
513,London_Legends_,"London, England","(51.5073219, -0.1276474)",False,13084657.0
545,QPRJOE,"London, England","(51.5073219, -0.1276474)",False,138068260.0
551,scooterjam,"London, England","(51.5073219, -0.1276474)",False,133439941.0
574,Olliek74,"London, England","(51.5073219, -0.1276474)",False,221023929.0
595,GoCardless,"London, England","(51.5073219, -0.1276474)",False,157790831.0
615,Landsbankilux,"London, England","(51.5073219, -0.1276474)",False,109834372.0
627,feyeleanor,"London, England","(51.5073219, -0.1276474)",False,278144646.0
633,kp58,"London, England","(51.5073219, -0.1276474)",False,238124071.0
638,Sparkles_t89,"London, England","(51.5073219, -0.1276474)",False,183122443.0
656,Cosmixer,"London, England","(51.5073219, -0.1276474)",False,223901845.0
700,carmella101,"London, England","(51.5073219, -0.1276474)",False,186142254.0
720,disclaimermag,"London, England","(51.5073219, -0.1276474)",False,70978145.0
724,PermaConfused,"London, England","(51.5073219, -0.1276474)",False,12524726.0
726,sarahoconnor_,"London, England","(51.5073219, -0.1276474)",False,158595452.0
736,heidi4me,"London, England","(51.5073219, -0.1276474)",False,174425877.0
738,NanaPunkTv,"London, England","(51.5073219, -0.1276474)",False,73292678.0
760,ukglo,"London, England","(51.5073219, -0.1276474)",False,78280492.0
783,djiwebster,"London, England","(51.5073219, -0.1276474)",False,204776627.0
793,MickFree60,"London, England","(51.5073219, -0.1276474)",False,131090792.0
797,no_not_him,"London, England","(51.5073219, -0.1276474)",False,42724271.0
807,BBCNews,"London, England","(51.5073219, -0.1276474)",False,298310042.0
813,golfingmaniacs,"London, England","(51.5073219, -0.1276474)",False,104292280.0
824,Nick_Hoadley,"London, England","(51.5073219, -0.1276474)",False,195208760.0
843,WhiteKevin32,"London, England","(51.5073219, -0.1276474)",False,113972562.0
851,RHSmith_81,"London, England","(51.5073219, -0.1276474)",False,94034025.0
852,otherhq,"London, England","(51.5073219, -0.1276474)",False,38076971.0
900,itnsourcenews,"London, England","(51.5073219, -0.1276474)",False,143816099.0
902,SoniaMeggie,"London, England","(51.5073219, -0.1276474)",False,238739446.0
917,DartmouthparkNF,"London, England","(51.5073219, -0.1276474)",False,120917309.0
938,rodadams46,"London, England","(51.5073219, -0.1276474)",False,62440777.0
944,eastbeatnik,"London, England","(51.5073219, -0.1276474)",False,156319973.0
946,geofftily,"London, England","(51.5073219, -0.1276474)",False,56472608.0
949,hamelsoni,"London, England","(51.5073219, -0.1276474)",False,201851026.0
950,fatfei_,"London, England","(51.5073219, -0.1276474)",False,194799314.0
952,TheBionicStan,"London, England","(51.5073219, -0.1276474)",False,41303052.0
978,RosieMorshead,"London, England","(51.5073219, -0.1276474)",False,164938514.0
981,alex_m_pym,"London, England","(51.5073219, -0.1276474)",False,14353839.0
999,RemiMartinho,"London, England","(51.5073219, -0.1276474)",False,174661811.0
1025,PaulAtherton,"London, England","(51.5073219, -0.1276474)",False,246194428.0
1038,OscarDiazStudio,"London, England","(51.5073219, -0.1276474)",False,160065429.0
1063,ismattstiff,"London, England","(51.5073219, -0.1276474)",False,161859259.0
1073,tanyamccamphill,"London, England","(51.5073219, -0.1276474)",False,164220955.0
1075,EdmondChan1000,"London, England","(51.5073219, -0.1276474)",False,162301618.0
1088,fkmckenzie,"London, England","(51.5073219, -0.1276474)",False,252329078.0
1138,PaulDupuis20,"London, England","(51.5073219, -0.1276474)",False,5307925.0
1142,fistofJewry,"London, England","(51.5073219, -0.1276474)",False,182937502.0
1199,nualaclinton,"London, England","(51.5073219, -0.1276474)",False,168494789.0
1205,realVickyPryce,"London, England","(51.5073219, -0.1276474)",False,12744785.0
1245,neilwallis1,"London, England","(51.5073219, -0.1276474)",False,123936795.0
1246,cbm64,"London, England","(51.5073219, -0.1276474)",False,123908446.0
1255,LDNCalling,"London, England","(51.5073219, -0.1276474)",False,233553773.0
1263,ProfDingo,"London, England","(51.5073219, -0.1276474)",False,154890719.0
1267,idebate_uk,"London, England","(51.5073219, -0.1276474)",False,36866952.0
1275,andy_willmer,"London, England","(51.5073219, -0.1276474)",False,61617557.0
1302,Paul63B,"London, England","(51.5073219, -0.1276474)",False,168674412.0
1310,Hephzibah_Roe,"London, England","(51.5073219, -0.1276474)",False,136457248.0
1321,thesaadahmed,"London, England","(51.5073219, -0.1276474)",False,131531356.0
1335,twist07,"London, England","(51.5073219, -0.1276474)",False,227360930.0
1338,GabrielCNwolise,"London, England","(51.5073219, -0.1276474)",False,136704917.0
1355,roberthomson,"London, England","(51.5073219, -0.1276474)",False,234333012.0
1360,paulodykes,"London, England","(51.5073219, -0.1276474)",False,199589322.0
1370,MElmaazi,"London, England","(51.5073219, -0.1276474)",False,57987774.0
1379,TheEconomist,"London, England","(51.5073219, -0.1276474)",False,287578509.0
1386,LaSiddons,"London, England","(51.5073219, -0.1276474)",False,127651310.0
1397,ProdigyThespian,"London, England","(51.5073219, -0.1276474)",False,211872574.0
1407,robowers,"London, England","(51.5073219, -0.1276474)",False,239975853.0
1414,dannyboomting,"London, England","(51.5073219, -0.1276474)",False,209297019.0
1420,luisachristie,"London, England","(51.5073219, -0.1276474)",False,229828636.0
1428,LeeJasper,"London, England","(51.5073219, -0.1276474)",False,226382418.0
1432,LeeJeffmosh,"London, England","(51.5073219, -0.1276474)",False,109021365.0
1451,OufiLondon,"London, England","(51.5073219, -0.1276474)",False,197724944.0
1460,mowbrayjackson,"London, England","(51.5073219, -0.1276474)",False,230907385.0
1464,rainy101,"London, England","(51.5073219, -0.1276474)",False,234609753.0
1480,zc42,"London, England","(51.5073219, -0.1276474)",False,156207353.0
1484,iancollier1950,"London, England","(51.5073219, -0.1276474)",False,153381374.0
1516,PupspurJeanette,"London, England","(51.5073219, -0.1276474)",False,45552088.0
1525,Keir_Starmer,"London, England","(51.5073219, -0.1276474)",False,70024949.0
1537,BillyDann1,"London, England","(51.5073219, -0.1276474)",False,145762588.0
1552,Brenda_Kelly,"London, England","(51.5073219, -0.1276474)",False,221395095.0
1566,BenHunt93_,"London, England","(51.5073219, -0.1276474)",False,38641265.0
1574,NubianNerd,"London, England","(51.5073219, -0.1276474)",False,172891364.0
1577,cyclist_london,"London, England","(51.5073219, -0.1276474)",False,42788358.0
1580,MissLauraMarcus,"London, England","(51.5073219, -0.1276474)",False,132464240.0
1601,aloIaregion,"London, England","(51.5073219, -0.1276474)",False,99402120.0
1608,emilyfdeath,"London, England","(51.5073219, -0.1276474)",False,115226578.0
1613,tomurchu,"London, England","(51.5073219, -0.1276474)",False,234355076.0
1631,Desmondbusteed,"London, England","(51.5073219, -0.1276474)",False,49947765.0
1646,HannahArsenal,"London, England","(51.5073219, -0.1276474)",False,228359969.0
1698,dsmitheconomics,"London, England","(51.5073219, -0.1276474)",False,201008873.0
1713,DHWaroonga,"London, England","(51.5073219, -0.1276474)",False,140065837.0
1759,ElspethFisher,"London, England","(51.5073219, -0.1276474)",False,138959309.0
1765,LydiaGreen26,"London, England","(51.5073219, -0.1276474)",False,122009756.0
1773,ChiswickJohn,"London, England","(51.5073219, -0.1276474)",False,267257799.0
1782,arianagernet,"London, England","(51.5073219, -0.1276474)",False,121576797.0
1785,JohnKelly58,"London, England","(51.5073219, -0.1276474)",False,153656943.0
1788,StrykerMcGuire,"London, England","(51.5073219, -0.1276474)",False,257880817.0
1789,bilblogz,"London, England","(51.5073219, -0.1276474)",False,234365143.0
1791,AnnaBosworth,"London, England","(51.5073219, -0.1276474)",False,238313200.0
1833,krishm91,"London, England","(51.5073219, -0.1276474)",False,123255630.0
1842,NicBoothby,"London, England","(51.5073219, -0.1276474)",False,96041209.0
1868,AlbertoNardelli,"London, England","(51.5073219, -0.1276474)",False,292854926.0
1881,santiago_bracho,"London, England","(51.5073219, -0.1276474)",False,99566132.0
1933,cristinabrooks,"London, England","(51.5073219, -0.1276474)",False,195827253.0
1974,britain_votes,"London, England","(51.5073219, -0.1276474)",False,1514993.0
1985,grahaminman,"London, England","(51.5073219, -0.1276474)",False,182519067.0
2036,MarkReadMusic,"London, England","(51.5073219, -0.1276474)",False,232116447.0
2041,casparitus,"London, England","(51.5073219, -0.1276474)",False,168511035.0
2051,tonympope,"London, England","(51.5073219, -0.1276474)",False,209644410.0
2054,BenjaminSlight,"London, England","(51.5073219, -0.1276474)",False,205637024.0
2066,kafkasmonkey,"London, England","(51.5073219, -0.1276474)",False,83277218.0
2069,Ironwand,"London, England","(51.5073219, -0.1276474)",False,219205862.0
2084,Moncharm,"London, England","(51.5073219, -0.1276474)",False,165051366.0
2088,MigrantChildren,"London, England","(51.5073219, -0.1276474)",False,139491736.0
2089,CharChristof,"London, England","(51.5073219, -0.1276474)",False,63890526.0
2096,MisterJLHL,"London, England","(51.5073219, -0.1276474)",False,38058159.0
2100,DanStainsby,"London, England","(51.5073219, -0.1276474)",False,188196309.0
2105,Sezzer64,"London, England","(51.5073219, -0.1276474)",False,100510114.0
2115,mattpolacko,"London, England","(51.5073219, -0.1276474)",False,169698612.0
2124,KateJShaw,"London, England","(51.5073219, -0.1276474)",False,207492765.0
2127,SirBentlyBlower,"London, England","(51.5073219, -0.1276474)",False,7897869.0
2132,dannyjpalmer,"London, England","(51.5073219, -0.1276474)",False,224851521.0
2135,ham3sh,"London, England","(51.5073219, -0.1276474)",False,226667079.0
2142,gregzeene,"London, England","(51.5073219, -0.1276474)",False,164948614.0
2158,tomcarnac,"London, England","(51.5073219, -0.1276474)",False,171120858.0
2160,awol_allo,"London, England","(51.5073219, -0.1276474)",False,121596720.0
2183,Stuart1927,"London, England","(51.5073219, -0.1276474)",False,190964486.0
2192,rebeccalinsley,"London, England","(51.5073219, -0.1276474)",False,130474197.0
