,affiliation,friends_count,favourites_count,description,screen_name,geo_enabled,lang,verified,time_zone,statuses_count,followers_count,following,name,location,created_at,retweeted_count,profile_image_url,text,allies,new_text,new_retweet_count,new_created_at
0,L,485,878,Vote Leave - campaign for a 'leave' vote in EU referendum. End supremacy of EU law. Take control. Invest in NHS & science. The safer choice.,vote_leave,False,en-gb,True,London,6533,64803,,Vote Leave,United Kingdom,Fri Sep 18 10:47:15 +0000 2015,26147.0,http://pbs.twimg.com/profile_images/652925392991481856/dU0pGX2v_normal.jpg,"Gove: When it comes to immigration, we believe in a fair Australian style points-based system #VoteLeave #r4today https://t.co/jCzM5ebRxG","['DJack_Journo', 'BBCBreakfast', 'dobbs_michael', 'EP_President', 'HeatherWheeler', 'montie', 'andrealeadsom', 'f you agree with @andrealeadsom that politicians should be accountable #VoteLeave #bbcdebate https', 'MatthewSephton', 'tomchapman16', 'SteveBakerHW', 'TellRanil', 'cmackinlay', 'BBCNews', 'Vote_LeaveMedia', 'VoteLeaveCymru', 'LouiseMensch', 'BrexitInJune', 'ChloeVotesLeave', 'davidburrowesmp', 'TheaDickinson', 'BBCRealityCheck', 'Mike_Fabricant', 'Ha_bi_ba', 'JLongworthVL', 'JamesDuddridge', 'LeeVoteLeave', 'nickeardleybbc', 'rorybroomfield', 'NadineDorriesMP', 'oflynnmep', 'consforbritain', 'geraldhowarth', 'MitchellGoldie', 'SJ_Powell', 'Telegraph', 'WomenforBritain', 'LiamFoxMP', 'MartinDaubney', 'avemariarebecca', 'bernardjenkin', 'jasminancona', 'uniforbritain', 'GuidoFawkes', 'sarahjanesewell', 'beleaveuk', 'TheRedRag', 'conorburns_mp', 'DVATW', 'SuzanneEvans1', 'carefree_tug', 'LondonCF', 'CornwallTory']","Whatever the outcome, it's been an incredible campaign. Thank you to everyone who was a part of this! #ProjectHope
https://t.co/lN0iGriheJ",457,Thu Jun 23 21:00:23 +0000 2016
1,L,1924,1275,A cross-party campaign advocating a vote to leave the European Union on 23 June. #LeaveEU http://www.Facebook.com/LeaveEUOfficial,LeaveEUOfficial,False,en,False,Pacific Time (US & Canada),8614,93652,,LEAVE.EU,,Mon Jul 06 08:21:07 +0000 2015,9308.0,http://pbs.twimg.com/profile_images/704265585115402240/XCJzCLLC_normal.jpg,Major leak from Brussels reveals NHS will be ‘KILLED OFF’ if Britain remains in the EU https://t.co/aHGS2QXxwa #euref #brexit,"['BBCr4today', 'KayBurley', 'VictoriaLIVE', 'boden_will', 'davidroachcouk', 'terrylawes', 'MrRBourne', 'Survation', 'JamesJimCarver', 'ScienceBritain', 'pablothehat', 'RaheemKassam', 'BBCNews', 'ernietvr']",RT @fishingforleave: Flags and flares going and horns sounding at #Hastings with 30 local boats telling Amber Rudd MP that trapping Britain…,332,Sun Apr 08 17:42:42 +0000 2018
2,R,271,856,"British actress, Goodwill Ambassador for UN Women",EmWatson,True,en,True,London,1396,22049379,,Emma Watson,London,Wed Jul 14 22:06:37 +0000 2010,8139.0,http://pbs.twimg.com/profile_images/711235710070755329/iV9iortC_normal.jpg,"Don’t forget to vote on Thursday, no excuses! x #Euref https://t.co/iArHqo3KjQ",[],deleted,deleted,deleted
3,L,713,1406,"Fair #weather #cook, #photographer, #cyclist & #walker! #EU #VoteLeave",greenpesto1,False,en,False,,3636,329,,Russ,#Solihull #UK,Mon Jul 23 19:51:39 +0000 2012,6048.0,http://pbs.twimg.com/profile_images/3079171972/1b41059cd6bea9aebe94cd7541c7d75e_normal.jpeg,#Beckenham is another multi-millionaire just like most of the #RemainINEU #FatCats #InOrOut #VoteLeave #Brexit,"['elizabethorr123', 'Trev_Forrester', 'bernerlap', 'russjb2512', 'PeaceOutCoUk', 'theordinaryman2', 'ChloeVotesLeave', 'Brexit4us', 'MarkPaauwe', 'Chaverrs', 'Smel29', 'Leighpavey87', 'Leave_or_Remain']",RT @theJeremyVine: Oh hello https://t.co/FZLglJYibQ,135,Sun Apr 08 16:32:11 +0000 2018
4,L,10622,16529,"'Lord, thou knowest how busy I must be this day. If I forget thee, do not thou forget me.' Sir Jacob Astley, before the Battle of Edgehill",LouiseMensch,False,en,True,Seoul,146669,98330,,Louise Mensch,Conservative. Feminist.,Thu Jan 22 16:36:16 +0000 2009,5318.0,http://pbs.twimg.com/profile_images/744987961016487936/1kPxFnGm_normal.jpg,It's so good to hear the audience firmly on the side of #VoteLeave  - quiet during Wollaston's smear #BBCDebate,"['GarthGodsman', 'DJack_Journo', 'SpencerPitfield', 'andy_demaine', 'DominicFarrell', 'annietrev', 'MattPope123', 'marjungood', 'Miles_Goslett', 'AtheistMayhem', 'obviousreally', 'awyliu', 'josephineleigh', 'JTeesdale1', 'UpNorthandGRIM', 'mrDesStewart', 'BardenGridge', 'morvjn', 'heatstreet', 'PoliticalTwonky', 'benjastley', 'lawyers4britain', 'LeaveEUOfficial', 'JodieActy', 'ScotsVoteLeave', 'chrisdh68', 'Antiochean', 'McCartneyMaxwel', 'voxday', 'politically_cor', 'KMaconi', 'Barronak', 'opsimathist', 'foxesdale', 'TheScientistUK', 'SpazzieMcGee81', 'seanfitz_writes', 'TNT_Master19', 'AnthonysSquires', 'OldhamLeave_eu', 'Leavethe_EU', 'Stop_The_EU', 'HeatherWheeler', 'SteveHiltonx', 'BBCr4today', 'montie', 'vote_leave', 'EP_President', 'IanAxton', 'itvwestcountry', 'OutandProudUK', 'Vote_LeaveMedia', 'labourleave', 'oldBennite', 'BrexitNoww', 'anonmonstar', 'RichardKing633', 'ARC_agent', 'local_hub', 'mattsmithetc', 'LouiseMensch', 'qriously', 'SpencerHills2', 'Maccabee3Star', 'beleaveuk', 'DanHannanMEP', 'Kango_V', 'SamanthaLouize7', 'JerraldCoe', 'DinoFancellu', 'SuzanneEvans1', 'SteveBakerHW', 'oflynnmep', 'andrealeadsom', 'larner254', 'justineellison1', 'rupert_lescott', 'andrewbguy', 'uniforbritain', '01jacky01', 'geraldhowarth', 'BBCNews', 'davidburrowesmp', 'cmackinlay', 'Mike_Fabricant', 'BBCRealityCheck', 'John_J_C_Moss', 'roddytherobot', 'Jkhunofficial', 'gjsfulham', 'englishoak', 'sarahjanesewell', 'GuidoFawkes', 'rorybroomfield', 'bernardjenkin', 'juliamacfarlane', 'DVATW', 'liarpoliticians', 'NDH37087', 'Stuntwoman1', 'martin_roach', 'Jeansmart45Jean', 'RDPricey2', 'Cricket4Britain', 'BLAIMGame', 'politicseditor', 'TedYarbrough1', 'Lars9596', 'deejayhome', 'princesskew', 'T4_Tracy', 'LondonCF', 'avemariarebecca', 'NadineDorriesMP', 'Arron_banks', 'Kishan_Devani', 'brijoyce', 'suttonnick', 'anna_firth']",@kate_hess @MeghanMcCain Lol!,0,Sun Apr 08 21:53:34 +0000 2018
5,N,107,16,"News, features and analysis (http://bbc.in/newschannel). World news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport",BBCNews,True,en,True,London,299891,6840551,,BBC News (UK),London,Mon Jan 08 08:05:57 +0000 2007,5103.0,http://pbs.twimg.com/profile_images/522359694891819009/D7KgM7an_normal.jpeg,"âš¡ The excitement is building at Wembley for the Great Debate âš¡
https://t.co/O02ml2eYVC #bbcdebate #EUref","['BBCNewsbeat', 'BBCr4today', 'BBCBreakfast', 'VictoriaLIVE', 'bbc5live', 'BBCWorld', 'BBCNewsPR', 'BBCPM', 'BBCRealityCheck', 'BBCNewsGraphics', 'bbckamal', 'ChrisMasonBBC', 'BBCBreaking']","Prostate cancer: Four in 10 cases diagnosed late, charity says https://t.co/JBseylXTTJ",59,Sun Apr 08 23:44:27 +0000 2018
6,R,340,5823,Author,jk_rowling,False,en,True,London,4120,7522446,,J.K. Rowling,Scotland,Mon Aug 03 13:23:45 +0000 2009,4184.0,http://pbs.twimg.com/profile_images/744512246278201344/J0w7D8SR_normal.jpg,Scene: pearly gates. St Peter scans the record of my life on earth. He pales. 'You - you made Nadine Dorries late?' https://t.co/8CSckDWmIn,"['neilgadhok', 'JamesKerLindsay', 'NadineDorriesMP', 'StrongerIn']",Howard Jacobson: ‘Jews know what antisemitism is and what it isn’t. To invent it would be a sacrilege’ https://t.co/vSvLJ8VQLm,567,Sat Apr 07 12:55:23 +0000 2018
7,R,3844,4,"Tie-loathing adventurer, philanthropist & troublemaker, who believes in turning ideas into reality. Otherwise known as Dr Yes at @virgin!",richardbranson,True,en,True,London,12347,7809439,,Richard Branson,,Mon Aug 13 15:20:18 +0000 2007,4072.0,http://pbs.twimg.com/profile_images/653533858453811200/Zm8P8_k0_normal.jpg,"The EU has made Europe &amp; the UK stronger. If you agree with me, I’d urge you to #VoteRemain https://t.co/3TP8Gh6t5W https://t.co/XbtZuSOPrO",[],"""Running a company is like living in cave man times, you only survive if collaboration and cooperation happen.""… https://t.co/OzHYVEvSp1",117,Sun Apr 08 16:01:02 +0000 2018
8,L,291,4,Media account for @vote_leave,Vote_LeaveMedia,False,en-gb,False,Pacific Time (US & Canada),3677,7873,,Vote Leave Media,"England, United Kingdom",Thu Sep 24 15:12:01 +0000 2015,3867.0,http://pbs.twimg.com/profile_images/652446825971122176/iGS5jCUF_normal.png,In the last few weeks it has become policy to accelerate Turkish membership https://t.co/A8P3kCD4B1 #VoteLeave #bbcdebate,"['VoteLeaveCymru', 'vote_leave', 'WomenforBritain', 'BrexitInJune', 'SteveBakerHW', 'cmackinlay', 'geraldhowarth', 'davidburrowesmp', 'JLongworthVL', 'TellRanil', 'bernardjenkin', 'JamesDuddridge', 'nickdebois', 'AmandeepBhogal', 'oflynnmep', 'MartinDaubney', 'uniforbritain', 'consforbritain', 'VoteLeaveUKIP', 'montie', 'Farmers4Britain', 'ChloeVotesLeave', 'LouiseMensch', 'lawyers4britain', 'MitchellGoldie', 'Cricket4Britain', 'suttonnick', 'Vote_LeaveMedia']",823 heroes,68,Thu Jun 23 22:37:21 +0000 2016
9,L,2728,32442,"good old British humour but nothing too serious,  #LoveEuropeLeaveEU  #inorout
#EUref #VoteLeave #Brexit #LeaveEU #GrassrootsOut",theordinaryman2,False,en-gb,False,Dublin,21809,5564,,TheOrdinaryMan,GREAT Britain,Sun Apr 05 01:21:42 +0000 2015,3479.0,http://pbs.twimg.com/profile_images/690641486782791681/yVyhkcxh_normal.jpg,"#EU Free movement means un-contolled #migration

#BBCDebate #EURef #VoteLeave #Brexit #VoteRemain #InOrOut #Labour https://t.co/dhM6BIxZpO","['theordinaryman2', 'Charles_Laing', 'RedHotSquirrel', 'Dwalingen', 'DavidJo52951945', 'vote_leave', 'SamanthaLouize7', 'deejayhome', 'Markit_tweet', 'Fight4UK', 'MdDeactivated', 'MagnaCartaRules', 'OpenBritain']","RT @theordinaryman2: We open our arms &amp; welcome people from around the world yet they arm themselves &amp; murder our children

#Manchester #st…",212,Wed May 24 17:52:29 +0000 2017
